task,profile,family,group,topology,mode,seed,hidden,heads,head_dim,variant,base_rank,rank_multiplier,actual_M,unique_depth,executed_depth,total_parameters,trainable_parameters,backbone_parameters,router_parameters,batch_size,epochs,lr,mlp_ratio,unified_pos,ref,matrix_macs_B1,config
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,13,24,2848209,2848209,2848209,0,4,500,0.001,1,False,8,67409596800,airfoil/D24/M64/p1_c11_r2_s1/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,1,64,13,24,2859729,2859729,2848209,11520,4,500,0.001,1,False,8,67409596800,airfoil/D24/M64/p1_c11_r2_s1/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,13,24,2848721,2848721,2848209,512,4,500,0.001,1,False,8,67409596800,airfoil/D24/M64/p1_c11_r2_s1/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,14,24,3064673,3064673,3064673,0,4,500,0.001,1,False,8,67409596800,airfoil/D24/M64/p2_c10_r2_s2/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,1,64,14,24,3075169,3075169,3064673,10496,4,500,0.001,1,False,8,67409596800,airfoil/D24/M64/p2_c10_r2_s2/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,14,24,3065185,3065185,3064673,512,4,500,0.001,1,False,8,67409596800,airfoil/D24/M64/p2_c10_r2_s2/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,13,24,2874833,2874833,2874833,0,4,500,0.001,1,False,8,76273471872,airfoil/D24/M128/p1_c11_r2_s1/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,2,128,13,24,2886353,2886353,2874833,11520,4,500,0.001,1,False,8,76273471872,airfoil/D24/M128/p1_c11_r2_s1/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,13,24,2875345,2875345,2874833,512,4,500,0.001,1,False,8,76273471872,airfoil/D24/M128/p1_c11_r2_s1/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,14,24,3093345,3093345,3093345,0,4,500,0.001,1,False,8,76273471872,airfoil/D24/M128/p2_c10_r2_s2/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,2,128,14,24,3103841,3103841,3093345,10496,4,500,0.001,1,False,8,76273471872,airfoil/D24/M128/p2_c10_r2_s2/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,14,24,3093857,3093857,3093345,512,4,500,0.001,1,False,8,76273471872,airfoil/D24/M128/p2_c10_r2_s2/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,17,32,3714065,3714065,3714065,0,4,500,0.001,1,False,8,89753948544,airfoil/D32/M64/p1_c15_r2_s1/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,1,64,17,32,3729681,3729681,3714065,15616,4,500,0.001,1,False,8,89753948544,airfoil/D32/M64/p1_c15_r2_s1/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,17,32,3714577,3714577,3714065,512,4,500,0.001,1,False,8,89753948544,airfoil/D32/M64/p1_c15_r2_s1/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,18,32,3930529,3930529,3930529,0,4,500,0.001,1,False,8,89753948544,airfoil/D32/M64/p2_c14_r2_s2/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,1,64,18,32,3945121,3945121,3930529,14592,4,500,0.001,1,False,8,89753948544,airfoil/D32/M64/p2_c14_r2_s2/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,18,32,3931041,3931041,3930529,512,4,500,0.001,1,False,8,89753948544,airfoil/D32/M64/p2_c14_r2_s2/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,17,32,3748881,3748881,3748881,0,4,500,0.001,1,False,8,101572448640,airfoil/D32/M128/p1_c15_r2_s1/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,2,128,17,32,3764497,3764497,3748881,15616,4,500,0.001,1,False,8,101572448640,airfoil/D32/M128/p1_c15_r2_s1/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,17,32,3749393,3749393,3748881,512,4,500,0.001,1,False,8,101572448640,airfoil/D32/M128/p1_c15_r2_s1/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,18,32,3967393,3967393,3967393,0,4,500,0.001,1,False,8,101572448640,airfoil/D32/M128/p2_c14_r2_s2/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,2,128,18,32,3981985,3981985,3967393,14592,4,500,0.001,1,False,8,101572448640,airfoil/D32/M128/p2_c14_r2_s2/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,18,32,3967905,3967905,3967393,512,4,500,0.001,1,False,8,101572448640,airfoil/D32/M128/p2_c14_r2_s2/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,5,8,1116753,1116753,1116753,0,4,500,0.001,1,False,8,14566524800,darcy/D8/M64/p1_c3_r2_s1/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,1,64,5,8,1120081,1120081,1116753,3328,4,500,0.001,1,False,8,14566524800,darcy/D8/M64/p1_c3_r2_s1/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,5,8,1117265,1117265,1116753,512,4,500,0.001,1,False,8,14566524800,darcy/D8/M64/p1_c3_r2_s1/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,6,8,1333217,1333217,1333217,0,4,500,0.001,1,False,8,14566524800,darcy/D8/M64/p2_c2_r2_s2/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,1,64,6,8,1335521,1335521,1333217,2304,4,500,0.001,1,False,8,14566524800,darcy/D8/M64/p2_c2_r2_s2/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,6,8,1333729,1333729,1333217,512,4,500,0.001,1,False,8,14566524800,darcy/D8/M64/p2_c2_r2_s2/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,5,8,1126993,1126993,1126993,0,4,500,0.001,1,False,8,16460515200,darcy/D8/M128/p1_c3_r2_s1/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,2,128,5,8,1130321,1130321,1126993,3328,4,500,0.001,1,False,8,16460515200,darcy/D8/M128/p1_c3_r2_s1/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,5,8,1127505,1127505,1126993,512,4,500,0.001,1,False,8,16460515200,darcy/D8/M128/p1_c3_r2_s1/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,6,8,1345505,1345505,1345505,0,4,500,0.001,1,False,8,16460515200,darcy/D8/M128/p2_c2_r2_s2/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,2,128,6,8,1347809,1347809,1345505,2304,4,500,0.001,1,False,8,16460515200,darcy/D8/M128/p2_c2_r2_s2/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,6,8,1346017,1346017,1345505,512,4,500,0.001,1,False,8,16460515200,darcy/D8/M128/p2_c2_r2_s2/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,9,16,1982609,1982609,1982609,0,4,500,0.001,1,False,8,28889827200,darcy/D16/M64/p1_c7_r2_s1/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,1,64,9,16,1990033,1990033,1982609,7424,4,500,0.001,1,False,8,28889827200,darcy/D16/M64/p1_c7_r2_s1/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,9,16,1983121,1983121,1982609,512,4,500,0.001,1,False,8,28889827200,darcy/D16/M64/p1_c7_r2_s1/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,10,16,2199073,2199073,2199073,0,4,500,0.001,1,False,8,28889827200,darcy/D16/M64/p2_c6_r2_s2/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,1,64,10,16,2205473,2205473,2199073,6400,4,500,0.001,1,False,8,28889827200,darcy/D16/M64/p2_c6_r2_s2/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,10,16,2199585,2199585,2199073,512,4,500,0.001,1,False,8,28889827200,darcy/D16/M64/p2_c6_r2_s2/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,9,16,2001041,2001041,2001041,0,4,500,0.001,1,False,8,32677808000,darcy/D16/M128/p1_c7_r2_s1/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,2,128,9,16,2008465,2008465,2001041,7424,4,500,0.001,1,False,8,32677808000,darcy/D16/M128/p1_c7_r2_s1/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,9,16,2001553,2001553,2001041,512,4,500,0.001,1,False,8,32677808000,darcy/D16/M128/p1_c7_r2_s1/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,10,16,2219553,2219553,2219553,0,4,500,0.001,1,False,8,32677808000,darcy/D16/M128/p2_c6_r2_s2/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,2,128,10,16,2225953,2225953,2219553,6400,4,500,0.001,1,False,8,32677808000,darcy/D16/M128/p2_c6_r2_s2/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,10,16,2220065,2220065,2219553,512,4,500,0.001,1,False,8,32677808000,darcy/D16/M128/p2_c6_r2_s2/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,13,24,2848465,2848465,2848465,0,4,500,0.001,1,False,8,43213129600,darcy/D24/M64/p1_c11_r2_s1/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,1,64,13,24,2859985,2859985,2848465,11520,4,500,0.001,1,False,8,43213129600,darcy/D24/M64/p1_c11_r2_s1/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,13,24,2848977,2848977,2848465,512,4,500,0.001,1,False,8,43213129600,darcy/D24/M64/p1_c11_r2_s1/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,14,24,3064929,3064929,3064929,0,4,500,0.001,1,False,8,43213129600,darcy/D24/M64/p2_c10_r2_s2/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,1,64,14,24,3075425,3075425,3064929,10496,4,500,0.001,1,False,8,43213129600,darcy/D24/M64/p2_c10_r2_s2/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,14,24,3065441,3065441,3064929,512,4,500,0.001,1,False,8,43213129600,darcy/D24/M64/p2_c10_r2_s2/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,13,24,2875089,2875089,2875089,0,4,500,0.001,1,False,8,48895100800,darcy/D24/M128/p1_c11_r2_s1/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,2,128,13,24,2886609,2886609,2875089,11520,4,500,0.001,1,False,8,48895100800,darcy/D24/M128/p1_c11_r2_s1/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,13,24,2875601,2875601,2875089,512,4,500,0.001,1,False,8,48895100800,darcy/D24/M128/p1_c11_r2_s1/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,14,24,3093601,3093601,3093601,0,4,500,0.001,1,False,8,48895100800,darcy/D24/M128/p2_c10_r2_s2/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,2,128,14,24,3104097,3104097,3093601,10496,4,500,0.001,1,False,8,48895100800,darcy/D24/M128/p2_c10_r2_s2/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,14,24,3094113,3094113,3093601,512,4,500,0.001,1,False,8,48895100800,darcy/D24/M128/p2_c10_r2_s2/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,17,32,3714321,3714321,3714321,0,4,500,0.001,1,False,8,57536432000,darcy/D32/M64/p1_c15_r2_s1/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,1,64,17,32,3729937,3729937,3714321,15616,4,500,0.001,1,False,8,57536432000,darcy/D32/M64/p1_c15_r2_s1/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,17,32,3714833,3714833,3714321,512,4,500,0.001,1,False,8,57536432000,darcy/D32/M64/p1_c15_r2_s1/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,18,32,3930785,3930785,3930785,0,4,500,0.001,1,False,8,57536432000,darcy/D32/M64/p2_c14_r2_s2/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,1,64,18,32,3945377,3945377,3930785,14592,4,500,0.001,1,False,8,57536432000,darcy/D32/M64/p2_c14_r2_s2/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,18,32,3931297,3931297,3930785,512,4,500,0.001,1,False,8,57536432000,darcy/D32/M64/p2_c14_r2_s2/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,17,32,3749137,3749137,3749137,0,4,500,0.001,1,False,8,65112393600,darcy/D32/M128/p1_c15_r2_s1/sr_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,2,128,17,32,3764753,3764753,3749137,15616,4,500,0.001,1,False,8,65112393600,darcy/D32/M128/p1_c15_r2_s1/rb_attnres/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,17,32,3749649,3749649,3749137,512,4,500,0.001,1,False,8,65112393600,darcy/D32/M128/p1_c15_r2_s1/lb_attnres_1_over_r/config.json
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,18,32,3967649,3967649,3967649,0,4,500,0.001,1,False,8,65112393600,darcy/D32/M128/p2_c14_r2_s2/sr_1_over_r/config.json
